type;id;active;name;category;price_tex;id_tax_rules_group;wholesale_price;on_sale;reduction_price;reduction_percent;reduction_from;reduction_to;reference;supplier_reference;supplier;manufacturer;ean13;upc;ecotax;width;height;depth;weight;quantity;minimal_quantity;visibility;additional_shipping_cost;unity;unit_price;description_short;description;tags;meta_title;meta_keywords;meta_description;link_rewrite;available_now;available_later;available_for_order;available_date;date_add;show_price;image;image_alt;delete_existing_images;features;online_only;condition;customizable;uploadable_files;text_fields;out_of_stock;is_virtual;file_url;nb_downloadable;date_expiration;product_url;categories_url
import_type;id_product;product_reference;group;attribute;supplier_reference;reference;ean13;upc;wholesale_price;price;ecotax;quantity;minimal_quantity;low_stock_threshold;low_stock_alert;weight;default_on;available_date;image_position;image_url;image_alt;shop;advanced_stock_management
PRODUCT;;1;Áo sơmi dài tay cổ đức;Áo;385000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/b8414b56f64a09170194fc874b7d450c3b66d9c6.jpg;Áo sơmi dài tay cổ đức;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/15117/s/Ao-somi-B119N-ASA1785/category/116/#92=263;https://20again.vn/ao/san-pham-moi.html
COMBINATION;;Size:select:1;Size:12;2/S;2/S;;;;385000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;4/M;4/M;;;;385000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;6/L;6/L;;;;385000;;;;;;;;;;;;;;
PRODUCT;;1;Quần jeans rách;Quần jeans;415000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/4b79d59fde5b581741dd6e9ee04f9e6fef363c23.jpg;Quần jeans rách;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/quan/quan-jeans/quan-jeans-s218n-qsa006.html#92=291;https://20again.vn/quan/quan-jeans.html
PRODUCT;;1;Chân váy bút chì buộc nơ;SALE;305000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/6e10fb0c41205f8f8137e27fb96cc5ed9dbfaf1d.jpg;Chân váy bút chì buộc nơ;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/chan-vay-7131/sale/chan-vay-j080.html#92=303;https://20again.vn/chan-vay-3601/sale.html
PRODUCT;;1;Đầm ôm tay lỡ;Sản phẩm mới;899000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/f6e9fef6c75e214006e740792c8e7b9cb1703caa.jpg;Đầm ôm tay lỡ;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/14794/s/Dam-om-C119N-DOA1618/category/112/#92=272;https://20again.vn/vay/san-pham-moi.html
COMBINATION;;Size:select:1;Size:12;2/S;2/S;;;;899000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;4/M;4/M;;;;899000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;6/L;6/L;;;;899000;;;;;;;;;;;;;;
PRODUCT;;1;Áo sơmi dài tay xéo vạt;Áo;405000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/a9abd0599461496d6f305a48a0b69a0ef3761c0c.jpg;Áo sơmi dài tay xéo vạt;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/15135/s/Ao-somi-dai-tay-B119N-ASA1798/category/116/#92=263;https://20again.vn/ao/san-pham-moi.html
COMBINATION;;Size:select:1;Size:12;2/S;2/S;;;;405000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;4/M;4/M;;;;405000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;6/L;6/L;;;;405000;;;;;;;;;;;;;;
PRODUCT;;1;Áo sơmi kẻ dài tay;Áo;405000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/eb4f278f943d05385195945f850efd88a7822f87.jpg;Áo sơmi kẻ dài tay;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/15152/s/Ao-somi-dai-tay-B119N-ASA1885/category/116/#92=271;https://20again.vn/ao/san-pham-moi.html
COMBINATION;;Size:select:1;Size:12;2/S;2/S;;;;405000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;4/M;4/M;;;;405000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;6/L;6/L;;;;405000;;;;;;;;;;;;;;
PRODUCT;;1;Đầm suông ngắn tay;Đầm;585000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/d79c589716507bdfb5d62912b0679312a30fe5d6.jpg;Đầm suông ngắn tay;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/14763/s/Dam-suong-B119N-DXA1786/category/113/#92=265;https://20again.vn/vay/dam.html
COMBINATION;;Size:select:1;Size:12;2/S;2/S;;;;585000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;4/M;4/M;;;;585000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;6/L;6/L;;;;585000;;;;;;;;;;;;;;
PRODUCT;;1;Đầm xòe phối tay;Đầm;585000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/9e0365e685378535dfa4f4bd095d26ee24f87313.jpg;Đầm xòe phối tay;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/14748/s/Dam-xoe-B119N-DEA1787/category/113/#92=266;https://20again.vn/vay/dam.html
